date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2017-01-24,0.91,3.25,86.19,98.63,1.96,0.15,-2.34,-2.32,0.79,-1.16,-0.35,3.93,2.57,3.77,3.27,7.7,5.84,5.73,4.38
2016-07-23,0.04,11.3,55.76,99.35,9.5,24.81,15.71,15.71,30.02,20.52,25.24,3.0,3.3,5.43,2.96,8.42,6.25,6.98,4.73
2016-11-15,0.16,5.86,86.42,99.31,6.27,7.88,5.89,5.89,11.96,5.69,8.06,2.51,1.98,2.33,1.47,4.84,3.45,3.09,2.33
2015-09-02,0.66,13.48,69.51,99.54,9.21,23.9,18.55,18.55,29.08,19.87,24.52,2.27,1.6,2.61,2.08,4.88,3.67,3.98,2.66
2017-03-09,0.68,2.44,66.36,99.77,3.55,0.43,-5.82,-5.73,1.46,-2.09,-0.52,9.91,8.33,5.78,4.08,15.69,12.41,10.51,8.41
2015-05-15,0.46,5.87,74.85,100.06,7.03,9.21,5.7,5.71,13.82,6.79,10.35,3.65,2.7,1.63,1.14,5.28,3.84,4.03,2.86
2016-04-02,1.74,3.21,79.28,98.0,4.59,1.3,-2.67,-2.63,2.68,-1.91,0.57,7.69,6.11,3.24,2.71,10.92,8.82,7.38,5.9
2016-08-10,1.17,13.07,57.07,99.73,10.91,27.41,17.89,17.89,33.07,22.16,27.36,2.59,2.02,2.41,1.72,5.0,3.74,4.08,2.87
2016-03-25,2.6,3.02,81.22,99.25,6.92,0.34,-3.38,-3.34,3.75,-3.17,-0.43,6.51,5.89,3.81,2.8,10.32,8.69,7.49,6.01
2015-01-14,0.02,1.41,78.04,100.67,7.75,-9.42,-12.21,-12.09,-5.63,-13.38,-9.74,3.59,2.33,2.78,2.17,6.38,4.5,4.12,3.17
2017-04-04,10.95,6.15,94.81,97.8,7.3,5.99,6.19,6.19,10.46,3.16,7.2,10.78,8.99,3.35,1.98,14.13,10.97,9.11,6.79
2015-02-15,0.28,0.63,88.23,100.56,6.86,-17.83,-20.85,-20.84,-17.2,-24.06,-21.05,5.69,6.86,9.59,6.18,15.28,13.04,11.82,9.64
2016-10-30,1.1,5.54,80.27,99.73,6.32,9.46,5.0,5.0,10.66,4.34,8.39,4.32,3.39,4.15,2.89,8.48,6.28,6.03,4.6
2016-05-20,2.16,5.76,59.49,100.36,11.35,12.36,5.82,5.82,18.78,7.43,13.59,4.42,2.56,0.31,0.25,4.72,2.81,2.34,1.59
2015-06-17,1.26,8.51,71.9,100.02,6.23,16.72,11.53,11.53,19.91,13.68,16.63,4.73,2.21,3.44,2.7,8.17,4.91,5.49,3.78
2015-02-12,1.52,1.32,87.57,99.56,12.53,-10.76,-13.57,-13.44,-5.34,-17.88,-12.16,3.46,4.59,8.76,5.67,12.22,10.25,10.67,8.45
2016-03-03,0.56,1.65,75.16,100.35,5.57,-5.15,-10.52,-10.38,-4.74,-10.31,-7.33,4.0,2.84,0.93,0.8,4.93,3.64,3.34,2.73
2016-10-15,0.66,7.68,73.99,100.14,9.28,14.79,9.77,9.77,19.06,9.78,14.61,4.04,2.49,5.55,3.85,9.59,6.34,7.09,4.86
2015-03-27,1.57,2.3,74.86,99.32,5.75,-2.18,-6.88,-6.76,-1.01,-6.76,-3.01,2.6,3.08,6.73,4.94,9.33,8.02,7.93,6.4
2017-12-29,3.04,1.33,80.33,100.51,4.35,-6.76,-13.0,-12.84,-8.75,-13.1,-10.88,3.99,2.95,1.56,1.42,5.55,4.37,2.79,2.35
2016-10-14,3.7,5.26,66.3,100.77,6.35,12.27,4.58,4.59,13.94,7.59,10.64,6.95,4.66,0.43,0.26,7.38,4.92,3.92,3.05
2016-06-08,0.61,5.89,70.06,98.92,4.91,12.4,5.94,5.95,13.57,8.66,11.21,4.26,4.5,7.71,5.36,11.97,9.86,9.83,7.89
2017-03-27,2.02,6.37,93.45,99.22,7.49,6.68,7.06,7.06,12.62,5.14,8.13,6.2,4.59,3.23,1.94,9.43,6.53,6.82,4.3
2016-12-12,4.07,3.57,88.77,98.94,3.44,1.36,-1.06,-1.05,2.3,-1.14,0.59,7.04,6.13,7.15,5.42,14.19,11.55,9.79,7.66
2017-10-18,2.02,7.88,78.25,100.18,9.24,14.04,10.32,10.32,19.44,10.2,14.13,4.32,3.4,5.98,4.32,10.3,7.72,8.04,5.67
2015-07-16,1.8,8.6,65.52,99.9,8.63,19.22,11.61,11.61,22.35,13.72,18.24,2.96,1.52,3.26,2.81,6.22,4.34,4.52,3.45
2015-12-05,2.86,4.36,95.23,101.72,4.71,3.46,2.07,2.07,5.66,0.95,2.79,1.9,1.98,3.27,2.47,5.17,4.46,4.45,3.53
2017-10-17,1.08,6.19,68.43,100.13,11.96,12.71,6.54,6.54,18.28,6.32,12.5,8.55,7.36,5.13,3.56,13.68,10.92,10.12,7.49
2015-07-29,0.09,12.24,56.16,99.3,8.27,26.19,16.93,16.93,30.55,22.28,26.45,6.01,4.35,1.74,1.22,7.75,5.57,4.72,3.26
2017-08-02,0.86,13.13,70.37,99.66,8.68,23.91,18.11,18.11,28.08,19.39,23.89,4.34,3.25,3.05,1.99,7.39,5.25,5.12,3.54
2015-08-24,0.35,10.04,65.03,98.98,5.92,21.19,13.77,13.77,23.87,17.95,20.69,4.1,3.77,5.97,4.4,10.07,8.17,7.7,5.93
2017-11-01,0.98,4.48,76.01,100.11,4.14,7.44,2.15,2.17,8.39,4.26,6.14,2.74,1.82,3.27,2.39,6.01,4.22,4.74,3.45
2016-12-07,1.06,3.59,80.73,99.29,3.2,2.73,-1.04,-1.01,3.31,0.11,2.02,5.58,5.24,6.07,4.47,11.65,9.71,9.43,7.37
2016-06-12,0.45,7.01,65.62,99.29,5.38,14.89,8.44,8.45,17.63,12.25,14.91,5.4,4.8,7.56,4.89,12.96,9.69,11.21,8.31
2015-04-06,0.16,3.6,79.64,100.24,7.89,2.48,-0.83,-0.81,7.12,-0.78,2.4,4.97,3.4,2.07,1.54,7.04,4.94,4.31,3.14
2015-11-07,3.45,5.25,81.74,99.91,5.45,7.54,4.42,4.43,10.27,4.82,7.36,3.18,2.48,5.52,4.13,8.7,6.61,7.1,5.16
2015-07-10,1.28,9.35,62.35,99.8,11.32,20.49,12.91,12.91,25.61,14.29,20.36,5.15,3.24,1.33,1.06,6.48,4.3,3.68,2.58
2016-04-24,0.54,3.85,70.56,100.07,8.18,5.37,0.03,0.06,8.61,0.43,5.02,6.27,4.2,0.18,0.09,6.45,4.29,2.86,2.01
2017-02-12,6.58,3.44,91.54,98.97,2.67,0.34,-1.6,-1.59,1.11,-1.56,-0.32,15.01,12.2,3.16,2.53,18.17,14.73,8.65,7.05
2016-10-24,0.6,4.86,70.9,99.83,4.02,10.09,3.2,3.21,10.47,6.45,8.33,3.53,3.96,8.14,5.57,11.67,9.53,10.07,7.76
2017-11-15,3.02,4.38,81.28,99.62,4.0,4.59,1.79,1.8,6.45,2.45,4.81,8.09,6.68,5.27,3.68,13.36,10.36,8.35,6.13
2015-07-23,1.17,8.42,56.99,99.44,10.87,20.42,11.16,11.17,25.26,14.38,20.07,3.19,2.4,3.72,2.49,6.9,4.88,5.69,4.01
2016-10-22,2.5,4.62,72.28,98.89,5.83,9.81,2.42,2.44,10.3,4.47,7.16,4.34,3.84,9.58,7.54,13.91,11.38,11.69,9.42
2015-06-06,0.36,5.41,56.8,100.14,8.92,13.7,4.55,4.59,18.03,9.11,13.3,6.96,4.96,2.25,1.63,9.21,6.59,4.94,3.61
2016-02-11,1.64,1.2,75.92,99.78,4.32,-8.1,-14.1,-13.86,-8.97,-13.28,-11.58,4.43,4.76,7.13,5.01,11.57,9.77,10.08,8.38
2016-10-05,0.13,9.81,81.62,100.39,7.24,17.26,13.74,13.74,20.96,13.72,16.91,2.39,0.93,4.42,3.52,6.81,4.46,5.53,3.96
2016-07-01,3.91,9.26,68.71,99.22,7.09,18.27,12.6,12.6,21.43,14.34,18.55,7.92,6.08,3.49,2.46,11.4,8.54,7.97,5.74
2017-10-05,0.51,7.69,67.0,99.94,9.83,16.34,9.91,9.91,21.44,11.61,16.14,6.49,4.76,2.44,1.72,8.93,6.48,5.7,4.1
2015-11-24,0.73,3.63,83.71,100.59,6.02,2.31,-0.63,-0.61,5.35,-0.67,1.86,4.1,3.11,1.35,1.13,5.45,4.25,4.51,3.4
2017-07-22,1.34,12.17,69.67,99.13,5.37,22.63,16.87,16.87,25.16,19.79,22.72,2.88,1.81,0.47,0.44,3.35,2.25,1.91,1.44
