date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2016-09-05,0.89,9.3,53.28,101.13,15.78,23.21,13.0,13.01,30.94,15.16,23.07,5.31,2.01,1.72,1.17,7.04,3.18,4.2,2.5
2016-03-29,0.02,4.34,65.86,101.06,11.0,7.98,1.91,1.93,13.79,2.78,7.9,2.28,3.47,6.72,3.11,9.0,6.57,7.92,4.79
2017-04-27,0.43,11.05,76.04,99.94,15.44,19.77,15.46,15.46,27.38,11.94,19.86,5.77,3.45,2.65,2.1,8.41,5.55,6.0,3.43
2016-01-28,0.0,3.0,90.93,100.33,9.72,-4.65,-3.38,-3.36,2.91,-6.81,-1.91,5.65,2.44,0.46,0.36,6.11,2.8,3.24,1.76
2015-01-08,0.0,1.04,57.35,102.1,8.4,-8.8,-15.25,-14.68,-5.61,-14.01,-9.49,6.21,4.18,3.64,2.55,9.85,6.73,6.22,4.26
2015-04-09,4.79,5.95,89.75,101.2,5.94,8.55,6.4,6.4,11.67,5.72,8.0,3.46,2.45,2.66,2.05,6.12,4.51,4.19,3.21
2017-10-07,0.03,12.08,71.59,100.73,13.95,22.73,16.94,16.94,29.43,15.48,22.41,3.79,2.48,2.87,2.12,6.67,4.6,5.48,3.21
2016-11-20,0.01,2.51,52.14,100.23,5.94,3.6,-5.47,-5.32,6.12,0.18,3.27,4.18,3.82,9.23,5.78,13.41,9.6,11.13,7.43
2016-11-14,2.52,4.13,71.19,100.78,10.91,5.5,0.78,0.82,11.45,0.54,6.02,5.04,2.42,0.72,0.44,5.76,2.87,2.67,1.51
2017-10-19,0.0,5.74,58.83,101.3,18.61,14.07,5.8,5.82,24.13,5.52,13.85,4.32,1.32,2.21,1.66,6.53,2.98,4.49,2.43
2016-09-22,0.76,11.07,63.54,100.93,12.97,23.25,15.51,15.51,30.53,17.56,22.98,2.75,1.74,2.39,1.55,5.14,3.29,4.12,2.45
2017-08-15,11.33,16.83,91.26,100.23,5.23,23.45,22.22,22.22,26.52,21.28,23.75,2.67,1.11,0.85,0.44,3.52,1.55,2.01,1.15
2016-10-17,0.06,10.95,78.69,100.49,14.76,19.17,15.46,15.46,27.43,12.66,19.25,5.15,1.54,1.68,1.29,6.83,2.83,4.17,2.13
2017-03-08,1.95,5.04,57.89,100.89,10.06,11.7,3.35,3.39,17.24,7.18,12.05,5.27,3.71,5.07,3.36,10.34,7.07,8.63,5.14
2017-11-26,0.0,4.04,70.71,100.71,10.28,5.11,0.8,0.83,11.14,0.86,5.8,4.06,2.52,3.75,2.16,7.81,4.68,5.89,3.38
2015-06-14,4.96,16.23,74.05,100.71,11.09,26.83,21.71,21.71,31.9,20.81,26.74,3.72,1.67,0.44,0.26,4.15,1.92,2.37,1.35
2015-09-10,14.05,15.45,82.2,99.86,9.28,24.39,20.75,20.75,28.33,19.05,24.02,5.5,3.51,0.22,0.13,5.72,3.64,2.77,1.78
2017-08-11,3.2,13.67,74.89,100.82,11.71,24.11,18.87,18.87,29.13,17.42,23.71,2.43,2.52,2.95,1.41,5.38,3.94,4.53,2.67
2015-11-23,0.0,2.34,60.77,101.21,8.39,0.07,-6.19,-6.04,4.89,-3.5,0.33,5.58,4.1,1.77,1.24,7.34,5.33,5.31,3.41
2015-02-01,1.29,2.84,78.7,101.05,9.01,-1.72,-4.1,-4.03,3.89,-5.13,-0.61,6.34,3.9,0.34,0.21,6.68,4.11,3.95,2.38
2017-05-22,9.06,11.73,85.46,100.67,10.75,19.32,16.45,16.45,24.93,14.18,19.05,4.87,2.18,0.39,0.19,5.26,2.37,2.49,1.44
2016-09-25,0.01,7.07,55.22,101.12,11.82,18.95,8.56,8.57,24.73,12.91,18.05,3.77,1.73,1.39,1.21,5.17,2.94,3.5,2.05
2017-01-28,0.0,2.88,71.0,99.9,9.75,0.64,-3.75,-3.7,7.0,-2.75,0.83,1.88,2.55,5.34,2.47,7.22,5.02,6.33,3.62
2015-05-05,3.14,11.8,77.75,101.33,12.74,20.57,16.72,16.72,27.2,14.46,20.78,5.27,2.32,1.21,0.87,6.48,3.2,3.31,1.84
2016-06-30,0.11,11.4,67.43,100.68,13.27,23.03,16.0,16.0,28.32,15.05,22.45,4.57,1.69,0.94,0.73,5.52,2.43,3.33,1.8
2016-01-11,0.0,2.01,63.02,100.79,8.29,-2.18,-8.04,-7.87,2.78,-5.51,-2.28,7.92,5.37,2.08,1.2,10.0,6.57,6.28,3.95
2015-09-03,0.97,13.5,57.45,100.22,14.23,28.17,18.67,18.67,34.67,20.44,27.88,4.91,2.5,0.25,0.13,5.16,2.63,2.45,1.41
2017-09-28,0.0,9.06,53.41,100.16,12.15,22.66,12.0,12.0,27.75,15.6,22.43,2.17,3.2,6.28,3.07,8.45,6.27,7.36,4.48
2017-12-20,0.0,4.1,75.85,100.54,9.31,4.06,0.83,0.86,8.33,-0.98,4.98,3.8,1.51,3.68,2.01,7.48,3.51,5.59,2.91
2017-02-26,0.0,2.6,54.52,101.04,9.47,3.04,-4.91,-4.78,8.42,-1.04,3.29,8.58,5.62,1.36,0.9,9.94,6.52,5.71,3.85
2015-10-19,0.0,3.77,64.58,102.05,13.78,7.08,0.03,0.07,13.45,-0.33,6.29,5.9,2.55,0.92,0.69,6.82,3.24,4.07,2.18
2015-06-04,11.29,10.4,89.84,101.14,5.99,16.93,14.75,14.75,19.9,13.91,16.43,1.46,1.71,3.74,2.22,5.21,3.93,4.57,3.1
