date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m,yearid
2016-10-17,2.32,5.86,81.26,99.85,7.36,9.37,5.95,5.95,12.72,5.35,9.06,5.18,2.91,1.44,1.39,6.62,4.3,4.39,2.83,2016
2016-04-26,0.0,2.97,70.72,99.69,9.42,2.18,-3.42,-3.37,7.1,-2.32,1.28,3.73,2.61,3.06,2.16,6.79,4.76,4.97,3.14,2016
2016-09-02,0.13,8.22,71.19,100.62,9.55,17.01,11.08,11.08,21.35,11.8,16.34,3.92,2.47,2.88,1.6,6.81,4.08,4.58,2.77,2016
2017-10-28,0.67,6.4,81.53,99.58,15.0,10.03,7.12,7.12,18.31,3.31,10.27,5.21,2.77,4.1,2.66,9.32,5.43,6.43,3.7,2017
2017-08-18,16.1,12.95,91.52,99.34,8.52,19.57,17.75,17.75,24.22,15.7,19.32,6.51,4.89,1.51,1.05,8.01,5.94,4.83,3.08,2017
2016-04-05,0.27,1.5,66.99,101.2,11.11,-5.45,-11.51,-11.27,-2.07,-13.18,-6.93,5.03,3.71,1.09,0.76,6.12,4.47,4.72,3.33,2016
2016-11-04,0.62,3.25,78.43,100.62,7.53,1.33,-2.17,-2.14,5.48,-2.05,1.24,3.23,1.22,3.44,2.6,6.67,3.82,5.37,3.1,2016
2016-07-28,0.52,12.51,72.62,99.73,9.23,23.18,17.37,17.37,27.5,18.27,22.59,4.25,2.18,0.47,0.16,4.72,2.35,3.2,1.81,2016
2015-09-15,0.04,10.03,75.97,100.73,12.61,18.55,14.09,14.09,25.2,12.59,18.46,1.98,2.24,5.17,2.29,7.15,4.53,6.13,3.71,2015
2015-08-29,2.22,10.27,81.45,100.4,9.51,18.06,14.4,14.41,22.73,13.22,17.66,2.12,2.23,3.61,1.79,5.73,4.02,4.89,2.85,2015
2015-08-10,5.36,11.65,76.36,99.86,11.18,21.23,16.23,16.24,26.13,14.95,20.62,5.04,2.37,0.85,0.68,5.89,3.05,2.74,1.5,2015
2017-04-10,2.52,7.84,89.39,99.76,15.25,11.04,9.69,9.69,19.53,4.28,11.95,8.56,4.92,4.49,2.86,13.05,7.78,8.03,4.78,2017
2017-10-05,0.11,7.85,76.08,100.04,8.42,14.59,10.25,10.25,19.01,10.59,14.49,4.78,4.25,4.32,2.47,9.09,6.72,6.62,3.97,2017
2017-08-08,0.8,9.56,76.45,99.97,8.62,17.72,13.27,13.27,22.02,13.4,17.47,6.25,3.02,0.42,0.32,6.67,3.35,3.21,1.86,2017
2015-11-24,0.64,1.9,70.02,101.17,4.29,-4.03,-8.77,-8.61,-1.77,-6.06,-4.45,2.37,1.38,0.99,0.62,3.36,2.01,1.93,1.34,2015
2015-10-18,0.13,2.32,65.64,101.0,8.27,-0.24,-6.33,-6.21,3.55,-4.72,-0.89,1.81,2.43,4.9,2.57,6.71,5.0,5.67,3.47,2015
2016-07-09,23.63,11.22,91.46,99.35,4.62,17.67,15.65,15.65,19.87,15.25,17.06,1.88,2.2,6.03,3.98,7.91,6.19,6.75,4.95,2016
2015-06-19,1.85,6.98,67.87,100.18,10.45,15.31,8.41,8.41,19.11,8.66,14.48,5.35,3.65,3.09,1.89,8.44,5.54,4.98,3.33,2015
2015-05-19,2.3,11.43,80.28,99.21,15.41,19.5,15.56,15.56,25.29,9.87,19.41,5.02,5.06,5.69,2.65,10.71,7.71,8.01,5.36,2015
2016-08-06,0.7,12.19,70.06,99.01,10.65,23.3,16.69,16.7,27.11,16.46,22.64,3.41,3.84,4.47,2.08,7.88,5.93,6.15,4.02,2016
2015-06-14,0.16,8.22,71.45,100.38,10.0,16.75,11.04,11.05,21.25,11.25,16.23,3.67,1.67,2.95,1.71,6.62,3.38,4.37,2.76,2015
2017-05-12,1.64,6.92,85.38,100.23,9.65,11.31,8.44,8.45,15.98,6.33,10.86,3.01,1.28,3.62,2.46,6.63,3.74,4.76,3.15,2017
2016-10-31,0.59,3.11,76.76,100.82,8.96,0.26,-2.61,-2.57,5.76,-3.2,0.97,4.73,2.41,1.22,0.85,5.95,3.25,3.54,2.21,2016
2015-05-21,0.12,6.01,68.83,99.45,10.79,12.53,6.3,6.31,17.32,6.53,11.87,3.07,3.19,5.02,2.59,8.09,5.78,6.64,4.37,2015
2015-09-25,0.3,5.58,68.55,101.64,8.46,11.26,5.53,5.54,15.49,7.04,11.13,4.46,2.95,1.37,0.9,5.83,3.85,3.82,2.42,2015
2016-06-01,0.32,8.62,73.88,100.6,10.01,17.23,11.75,11.75,21.39,11.38,16.5,3.13,1.7,3.89,2.46,7.02,4.16,5.07,3.21,2016
2015-09-12,9.04,10.14,89.94,99.59,3.89,16.39,14.13,14.13,17.89,13.99,15.78,3.9,2.78,3.36,2.23,7.26,5.0,5.0,3.49,2015
2016-10-20,17.54,6.83,92.35,100.53,8.04,9.41,8.29,8.29,13.9,5.86,9.53,6.55,4.85,1.45,1.1,8.0,5.95,4.47,3.0,2016
2016-04-28,0.02,2.62,64.87,100.47,10.87,2.54,-4.96,-4.86,6.65,-4.22,0.85,5.01,2.18,1.9,1.28,6.91,3.46,4.23,2.49,2016
2017-10-31,0.35,4.49,76.19,99.42,8.11,6.08,2.16,2.18,9.27,1.15,6.07,7.25,6.5,5.16,2.67,12.41,9.18,10.62,7.32,2017
2016-05-26,0.53,8.01,71.52,100.42,10.75,16.39,10.61,10.61,20.92,10.17,15.82,5.35,1.62,1.92,1.84,7.27,3.46,4.41,2.63,2016
2017-06-22,0.75,10.24,77.78,99.65,10.95,18.53,14.25,14.25,23.07,12.12,18.24,3.7,3.55,3.4,1.69,7.1,5.24,5.27,3.35,2017
2016-09-29,0.01,6.09,71.83,101.8,10.52,12.33,6.85,6.86,17.92,7.39,11.76,1.68,2.08,5.6,3.53,7.28,5.61,6.39,4.35,2016
2015-06-25,0.14,7.35,69.94,100.18,10.08,15.38,9.35,9.35,19.92,9.84,14.81,2.56,1.68,2.84,2.13,5.4,3.81,4.52,2.75,2015
2016-04-19,0.31,3.94,76.02,100.56,12.94,4.74,0.48,0.49,11.01,-1.94,4.38,6.12,5.03,4.12,2.55,10.24,7.57,7.31,4.75,2016
2017-04-09,0.29,4.59,87.58,100.02,15.41,4.26,1.97,1.97,11.44,-3.97,4.44,7.59,2.99,1.62,1.29,9.21,4.28,5.61,3.12,2017
2017-09-04,8.06,10.28,88.06,98.93,11.73,16.09,14.08,14.08,21.87,10.14,16.22,4.11,2.59,5.29,2.81,9.4,5.4,7.15,4.27,2017
2016-10-25,0.72,3.52,77.3,100.51,5.54,2.63,-1.01,-0.98,5.65,0.1,2.53,2.63,3.02,5.95,3.09,8.58,6.1,7.56,4.91,2016
2017-09-02,0.04,6.03,65.82,100.69,14.75,13.63,6.51,6.51,20.22,5.47,12.79,5.51,2.44,0.66,0.6,6.18,3.04,3.66,2.02,2017
2015-04-10,13.95,5.03,91.8,98.76,7.76,4.35,3.38,3.38,8.54,0.78,4.91,8.85,7.16,6.19,3.15,15.04,10.31,10.34,6.62,2015
2016-08-13,25.42,12.63,90.59,99.63,5.91,19.93,17.53,17.53,22.96,17.05,19.12,3.32,2.67,3.02,1.89,6.34,4.57,4.59,3.29,2016
2017-05-30,8.62,9.53,92.64,99.9,8.37,14.56,13.16,13.16,18.57,10.2,14.41,3.64,2.99,3.99,2.65,7.63,5.64,6.07,3.93,2017
2017-08-25,0.03,7.35,72.1,100.5,10.83,14.89,9.43,9.44,20.1,9.27,14.39,3.41,1.9,3.05,2.16,6.46,4.06,5.07,3.02,2017
2016-10-23,6.2,3.83,75.47,98.38,7.15,3.9,-0.14,-0.12,8.42,1.28,3.78,5.54,5.38,7.29,3.95,12.83,9.32,10.97,7.44,2016
2017-10-09,18.12,10.59,95.44,99.73,4.99,15.44,14.79,14.79,18.17,13.18,15.54,4.2,2.97,2.65,1.68,6.85,4.65,4.67,3.09,2017
2015-06-22,1.56,10.69,75.44,99.7,9.78,19.77,14.95,14.95,24.1,14.32,19.41,4.59,2.25,2.37,1.42,6.96,3.66,4.24,2.69,2015
2015-06-04,0.46,7.94,73.26,100.68,15.25,15.81,10.47,10.47,21.95,6.7,15.35,5.38,1.94,1.36,1.18,6.74,3.12,3.56,2.18,2015
2017-07-26,0.66,11.01,81.64,100.49,10.88,19.06,15.48,15.48,23.25,12.37,18.75,3.98,1.84,2.02,1.66,6.0,3.5,4.55,2.7,2017
2015-07-17,2.53,9.23,70.03,100.1,10.43,18.56,12.66,12.66,22.9,12.47,18.33,4.46,2.17,1.85,1.56,6.31,3.73,4.58,2.85,2015
2017-10-15,16.07,10.29,90.92,98.96,12.23,15.27,13.97,13.97,20.29,8.06,15.74,11.58,7.73,1.83,1.25,13.41,8.97,8.9,5.89,2017
2015-05-06,0.1,6.66,69.83,100.82,16.14,13.38,7.92,7.93,20.98,4.84,13.42,6.81,4.72,2.1,1.62,8.91,6.34,5.96,3.59,2015
2016-09-01,1.18,9.62,76.39,99.87,10.14,18.23,13.36,13.36,22.84,12.7,17.57,2.8,0.74,3.56,2.48,6.36,3.22,4.79,2.81,2016
2015-09-14,12.54,9.58,85.06,99.61,6.67,15.84,13.24,13.24,20.23,13.56,15.77,4.71,4.15,3.27,1.57,7.98,5.72,5.97,3.63,2015
2016-10-22,22.4,5.28,89.63,97.96,6.7,6.12,4.2,4.2,8.36,1.66,5.83,5.25,3.99,5.51,4.02,10.76,8.01,7.72,5.59,2016
2017-06-03,0.98,6.82,85.77,99.87,8.84,10.87,8.19,8.19,15.09,6.25,10.51,1.71,2.1,4.24,2.23,5.94,4.33,5.12,3.25,2017
2016-04-29,0.05,3.04,64.77,100.73,13.74,3.9,-3.05,-2.98,9.62,-4.12,3.0,3.76,1.43,2.74,1.85,6.5,3.29,4.02,2.61,2016
2015-07-29,0.38,14.71,74.17,99.69,11.08,24.92,19.96,19.96,30.83,19.75,24.9,3.93,1.57,1.21,1.02,5.15,2.59,3.27,1.93,2015
